TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,478036,478036,1,Naurzum Lake System,Naurzum Lake System,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iii)(iv)(v)(vi),0,0,0,1397.14,1922.87397332512,Not Applicable,0,Designated,2009,Not Reported,Not Reported,Not Reported,Management plan is implented and available,State Verified,1856,KZ-KUS,KAZ,KAZ,Not Applicable,Not Applicable
Polygon,478037,478037,1,Zharsor-Urkash Lake System,Zharsor-Urkash Lake System,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(ii)(v)(vi),0,0,0,412.5,293.414770248766,Not Applicable,0,Designated,2009,Not Reported,Not Reported,Not Reported,Management plan is not implented and not available,State Verified,1856,KZ-KUS,KAZ,KAZ,Not Applicable,Not Applicable
Polygon,17721,17721,1,Tengiz-Korgalzhyn Lake System,Tengiz-Korgalzhyn Lake System,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iv)(v),0,0,0,3533.41,2507.61603418746,Not Applicable,0,Designated,1976,Not Reported,Not Reported,Not Reported,Management plan is not implented and not available,State Verified,1856,KZ-AKM,KAZ,KAZ,Not Applicable,Not Applicable
Polygon,17722,17722,1,Lakes of the lower Turgay & Irgiz,Lakes of the lower Turgay & Irgiz,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iii)(iv)(v)(vi),0,0,0,3480,2634.96547503371,Not Applicable,0,Designated,1976,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,1856,KZ-AKT,KAZ,KAZ,Not Applicable,Not Applicable
Polygon,16248,16248,1,"State Nature Sanctuary ""Karatal Sands"" (botanical) ",Государственный  природный  заказник «Каратальские пески» (ботанический) ,Zakaznik,Zakaznik,National,IV,Not Applicable,0,0,0,13,13.9013283217078,Not Applicable,0,Designated,2001,Federal or national ministry or agency,State,"Forestry and Wildlife Committee of the Ministry of Ecology, Geology and Natural Resources ",Not Reported,State Verified,1997,KZ-VOS,KAZ,KAZ,Not Applicable,Not Applicable
Polygon,17416,17416,1,Tarbagatay State Nature Sanctuary (zoological),Тарбагатайский государственный природный  заказник (зоологический),Zakaznik,Zakaznik,National,IV,Not Applicable,0,0,0,2400,3049.82842882012,Not Applicable,0,Designated,2001,Federal or national ministry or agency,State,"Forestry and Wildlife Committee of the Ministry of Ecology, Geology and Natural Resources ",Not Reported,State Verified,1997,KZ-VOS,KAZ,KAZ,Not Applicable,Not Applicable
Polygon,62610,62610,1,Kuludzhun State Nature Sanctuary (zoological),Кулуджунский государственный  природный  заказник (зоологический),Zakaznik,Zakaznik,National,IV,Not Applicable,0,0,0,460,453.058964096119,Not Applicable,0,Designated,2001,Federal or national ministry or agency,State,"Forestry and Wildlife Committee of the Ministry of Ecology, Geology and Natural Resources ",Not Reported,State Verified,1997,KZ-VOS,KAZ,KAZ,Not Applicable,Not Applicable
Polygon,62635,62635,1,Nizhne-Turgusun State Nature Sanctuary (botanical),Нижне-Тургусунский государственный природный  заказник (ботанический) ,Zakaznik,Zakaznik,National,IV,Not Applicable,0,0,0,22,188.309270747431,Not Applicable,0,Designated,2001,Federal or national ministry or agency,State,"Forestry and Wildlife Committee of the Ministry of Ecology, Geology and Natural Resources ",Not Reported,State Verified,1997,KZ-VOS,KAZ,KAZ,Not Applicable,Not Applicable
Polygon,15878,15878,1,Belagash State Nature Sanctuary (zoological),Бельагашский государственный  природный  заказник (зоологический),Zakaznik,Zakaznik,National,IV,Not Applicable,0,0,0,15,19.1842590861604,Not Applicable,0,Designated,2001,Federal or national ministry or agency,State,"Forestry and Wildlife Committee of the Ministry of Ecology, Geology and Natural Resources ",Not Reported,State Verified,1997,KZ-KAR,KAZ,KAZ,Not Applicable,Not Applicable
Polygon,16231,16231,1,Kyzylaray State Nature Sanctuary (zoological),Кызыларайский государственный природный заказник (зоологический),Zakaznik,Zakaznik,National,IV,Not Applicable,0,0,0,182,200.802865132426,Not Applicable,0,Designated,2001,Federal or national ministry or agency,State,"Forestry and Wildlife Committee of the Ministry of Ecology, Geology and Natural Resources ",Not Reported,State Verified,1997,KZ-KAR,KAZ,KAZ,Not Applicable,Not Applicable
Polygon,62629,62629,1,Bektauata State Nature Sanctuary (zoological),Бектауатинский государственный природный заказник (зоологический),Zakaznik,Zakaznik,National,IV,Not Applicable,0,0,0,5,5.48437301709418,Not Applicable,0,Designated,2001,Federal or national ministry or agency,State,"Forestry and Wildlife Committee of the Ministry of Ecology, Geology and Natural Resources ",Not Reported,State Verified,1997,KZ-KAR,KAZ,KAZ,Not Applicable,Not Applicable
Polygon,16249,16249,1,Kogashik State Nature Sanctuary (botanical),Когашикский государственный природный заказник (ботанический)  ,Zakaznik,Zakaznik,National,IV,Not Applicable,0,0,0,150,164.788408598966,Not Applicable,0,Designated,2001,Federal or national ministry or agency,State,"Forestry and Wildlife Committee of the Ministry of Ecology, Geology and Natural Resources ",Not Reported,State Verified,1997,KZ-KAR,KAZ,KAZ,Not Applicable,Not Applicable
Polygon,16242,16242,1,Timurskiy State Nature Sanctuary (botanical),Тимурский государственный природный заказник (ботанический),Zakaznik,Zakaznik,National,IV,Not Applicable,0,0,0,40,51.3208661418786,Not Applicable,0,Designated,2001,Federal or national ministry or agency,State,"Forestry and Wildlife Committee of the Ministry of Ecology, Geology and Natural Resources ",Not Reported,State Verified,1997,KZ-YUZ,KAZ,KAZ,Not Applicable,Not Applicable
Polygon,62607,62607,1,Kuvskiy State Nature Sanctuary (zoological),Кувский государственный природный  заказник  (зоологический),Zakaznik,Zakaznik,National,IV,Not Applicable,0,0,0,335,334.589531298316,Not Applicable,0,Designated,2001,Federal or national ministry or agency,State,"Forestry and Wildlife Committee of the Ministry of Ecology, Geology and Natural Resources ",Not Reported,State Verified,1997,KZ-KAR,KAZ,KAZ,Not Applicable,Not Applicable
Polygon,555705854,555705854,1,Turanga State Nature Sanctuary (botanical),Туранговый государственный  природный  заказник  (ботанический),Zakaznik,Zakaznik,National,IV,Not Applicable,0,0,0,0.048,0.572298879153613,Not Applicable,0,Designated,2001,Federal or national ministry or agency,State,"Forestry and Wildlife Committee of the Ministry of Ecology, Geology and Natural Resources ",Not Reported,State Verified,1997,KZ-AKT,KAZ,KAZ,Not Applicable,Not Applicable
